NOMS;LIEUX;HORAIRES;PMR;X_CC48;Y_CC48;X_L93;Y_L93;X_WGS84;Y_WGS84
Charles GENIAUX;Square Charles Géniaux;;;1349378.96;7223095.40;349536.02;6789454.81;-1.71188287;48.11132840
MITTERRAND;Mail Mitterrand;;;1351143.38;7222823.14;351299.99;6789185.22;-1.68800772;48.10985105
COLOMBIER;22 place du Colombier;6h à 23h;OUI;1351844.75;7222237.76;352001.87;6788601.12;-1.67812898;48.10497866
Salle / CITE;10 rue St. Louis;Horaires de la salle;NON;1351612.08;7223304.11;351767.77;6789666.63;-1.68211683;48.11442496
T.N.B.;rue Saint-Hélier;Horaires du théâtre;OUI;1352278.30;7222515.04;352434.81;6788878.89;-1.67254321;48.10770431
TOULLIER;2 rue Toullier;6h à 23h;NON;1352088.33;7222708.17;352244.66;6789071.65;-1.67524686;48.10933463
MUSEE BEAUX ARTS;32 rue Hoches;;?;1351983.55;7223281.96;352139.10;6789645.02;-1.67711865;48.11442882
Le LIBERTE;1 Pl. Esplanade Gl. De Gaulle;Horaires de la salle;?;1351947.07;7222423.83;352103.87;6788787.25;-1.67690904;48.10670495
Parc St CYR;Rue Papu;;;1350357.06;7223010.96;350513.77;6789371.82;-1.69870206;48.11110691
Musée des Beaux-Arts;20 quai Emile Zola;;;1352111.00;7222738.67;352267.27;6789102.18;-1.67496778;48.10962086
BREQUIGNY Piscine;Bd. Albert Premier;6h à 23h;OUI;1350930.00;7220515.07;351090.03;6786877.95;-1.68898410;48.08901354
SARAH BERNHARDT;Square Sarah Bernhardt;Jour de marché;NON;1351528.31;7220745.81;351687.72;6787109.44;-1.68115477;48.09141186
CHAMP MANCEAU;Rue Louis et René Moines;6h à 23h;OUI;1351427.86;7220752.22;351587.30;6787115.70;-1.68250615;48.09141454
BREQUIGNY Parc;Allée Ukraine côté Novotel;6h à 23h;OUI;1351347.77;7219643.69;351508.85;6786007.61;-1.68267597;48.08141891
ALBERT BAYET;Place Albert Bayet;6h à 23h;OUI;1350658.38;7220145.44;350819.07;6786508.12;-1.69232188;48.08554668
BREQUIGNY Angleterre;84 rue d'Angleterre;;;1350695.00;7219865.37;350856.08;6786228.23;-1.69160249;48.08305230
BLOSNE;Espace Social Ty-Blosne 7 Bd. Yougoslavie;du L au V de 8h30 à 18h, sauf mardi matin;?;1353216.85;7220308.19;353376.06;6786674.45;-1.65817257;48.08840234
Le TRIANGLE;1 bd de Yougoslavie;Horaires de l'établissement;?;1353089.32;7220345.50;353248.54;6786711.56;-1.65991170;48.08866799
ITALIE;Avenue d'Italie;;?;1352512.45;7220242.77;352672.10;6786608.05;-1.66755816;48.08743205
Paul LAFARGUE;49 avenue des Pays Bas;6h à 23h;OUI;1353003.27;7219783.71;353163.33;6786149.92;-1.66060914;48.08357765
HOPITAL SUD;16 bd de Bulgarie;;OUI;1353551.28;7219729.28;353711.15;6786096.30;-1.65322242;48.08338653
ZAGREB;Place de Zagreb;Samedi jour de marché;OUI;1353337.16;7220271.29;353496.36;6786637.74;-1.65653051;48.08813637
